,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
wind_gust_qc.1,wind_gust_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_gust_detail_qc.1,wind_gust_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
wind_gust_release.1,wind_gust_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
max_1_minute_wind_speed.1,max_1_minute_wind_speed.1,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_qc.1,max_1_minute_wind_speed_qc.1,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_detail_qc.1,max_1_minute_wind_speed_detail_qc.1,int64,0,0,0.0,0.0,0.0,0,421,0,1,,inf,{0: 1.0}
max_1_minute_wind_speed_release.1,max_1_minute_wind_speed_release.1,int64,-9,0,-8.978622327790974,0.4386331609457214,-9.0,-9,421,0,2,,inf,"{-9: 0.997624703087886, 0: 0.0023752969121140144}"
air_pressure_at_sea_level.1,air_pressure_at_sea_level.1,float64,100778.0,102618.0,101875.47619047618,490.66056678168263,101783.0,102438.0,421,1,130,0.9994219003050812,inf,{}
air_pressure_at_sea_level_qc.1,air_pressure_at_sea_level_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
air_pressure_at_sea_level_detail_qc.1,air_pressure_at_sea_level_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
air_pressure_at_sea_level_release.1,air_pressure_at_sea_level_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
air_pressure.1,air_pressure.1,float64,100750.0,102590.0,101847.41428571429,490.5865611895366,101755.0,102409.0,421,1,130,0.9994221927317934,inf,{}
air_pressure_qc.1,air_pressure_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
air_pressure_detail_qc.1,air_pressure_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
